City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,saldanha,-33.0117,17.9442,14.03,88,18,3.27,ZA,1683495115
129,flin flon,54.7682,-101.865,17.91,29,75,3.6,CA,1683495628
130,fisterra,42.9049,-9.2629,15.57,79,78,0.92,ES,1683495628
131,inirida,3.8653,-67.9239,28.63,73,54,0.13,CO,1683495628
132,lorengau,-2.0226,147.2712,28.92,75,67,1.96,PG,1683495207
133,taoudenni,22.6783,-3.9836,36.55,8,72,4.3,ML,1683495629
134,benjamin constant,-4.3831,-70.0311,28.07,78,40,3.09,BR,1683495629
135,severo-yeniseyskiy,60.3725,93.0408,2.75,93,87,2.49,RU,1683495629
136,recani,31.2846,-4.2688,25.78,18,60,5.47,MA,1683495629
137,madingou,-4.1536,13.55,24.33,93,78,0.61,CG,1683495629
138,tura,25.5198,90.2201,22.91,40,11,2.03,IN,1683495163
139,maych'ew,12.7875,39.5422,15.52,78,100,0.2,ET,1683495630
140,avarua,-21.2078,-159.775,27.03,89,20,4.63,CK,1683495192
141,muang khong,14.1167,105.85,24.64,93,100,1.53,LA,1683495630
142,pulaski,34.7668,-92.3001,29.66,66,75,3.6,US,1683495630
143,ponta delgada,37.7333,-25.6667,18.4,94,75,6.17,PT,1683495630
144,welshpool,52.6597,-3.1471,13.62,87,99,2.45,GB,1683495630
145,hobyo,5.3505,48.5268,27.39,85,77,9.82,SO,1683495631
146,san antonio de pale,-1.4014,5.6325,28.48,76,89,3.96,GQ,1683495631
147,mount gambier,-37.8333,140.7667,10.27,76,95,2.8,AU,1683495258
148,junin de los andes,-39.9504,-71.0694,12.21,60,1,0.99,AR,1683495631
149,cabedelo,-6.9811,-34.8339,27.37,79,16,4.92,BR,1683495563
150,tual,-5.6667,132.75,28.89,75,100,5.86,ID,1683495290
151,dhuusamarreeb,5.535,46.3861,27.47,63,46,7.33,SO,1683495631
152,padang,-0.9492,100.3543,24.03,91,100,1.9,ID,1683495216
153,lebu,-37.6167,-73.65,11.11,77,45,7.36,CL,1683495153
154,ilulissat,69.2167,-51.1,0.01,86,100,2.57,GL,1683495164
155,kristiansund,63.1115,7.732,8.03,76,4,1.03,NO,1683495330
156,flying fish cove,-10.4217,105.6791,26.82,83,40,4.63,CX,1683495488
157,ayaviri,-14.8864,-70.5889,9.38,65,97,1.59,PE,1683495632
158,nar'yan-mar,67.6713,53.087,-8.53,95,16,4.17,RU,1683495632
159,san pedro pochutla,15.7333,-96.4667,33.73,54,57,3.77,MX,1683495632
160,homer,59.6425,-151.5483,5.93,88,100,2.06,US,1683495393
161,cova figueira,14.8905,-24.2934,20.34,80,1,6.6,CV,1683495482
162,mazamari,-11.3258,-74.5308,21.28,99,99,0.63,PE,1683495633
163,dunedin,-45.8742,170.5036,15.6,91,100,1.79,NZ,1683495633
164,chonchi,-42.6128,-73.8092,10.62,93,57,0.42,CL,1683495633
165,gilgit,35.9221,74.3087,11.03,83,100,1.98,PK,1683495633
166,smithers,54.7804,-127.1743,14.18,51,40,4.63,CA,1683495633
167,jieyang,23.5289,116.3642,21.96,87,98,1.84,CN,1683495633
168,cao bang,22.6667,106.25,21.58,95,100,1.07,VN,1683495634
169,kayyerkan,69.3786,87.7439,-18.04,94,93,2.46,RU,1683495634
170,uzgen,40.7699,73.3007,9.16,79,66,2.21,KG,1683495634
171,puerto baquerizo moreno,-0.9,-89.6,26.55,89,75,3.09,EC,1683495634
172,bairagnia,26.75,85.2833,27.35,23,0,0.79,IN,1683495634
173,nampula,-15.1165,39.2666,19.97,88,40,2.57,MZ,1683495634
174,lycksele,64.5954,18.6735,3.93,48,100,0.0,SE,1683495635
175,kone,-21.0595,164.8658,25.67,69,66,0.46,NC,1683495635
176,pakruojis,55.9667,23.8667,2.44,61,3,1.78,LT,1683495635
177,taltal,-25.4,-70.4833,18.48,70,9,2.02,CL,1683495635
178,loveland,40.3978,-105.075,20.95,36,20,4.63,US,1683495516
179,qingnian,36.8456,115.7117,15.08,35,100,1.06,CN,1683495635
